user_id,skill_name,type,activityId,correct,visited_At,order_Id,class
norway22108,Arrays,Coding,arrays_1,0,2023-03-20 01:29:15.295,1216,OBJ2000
norway22108,Arrays,Coding,arrays_1,1,2023-03-20 01:29:15.295,1217,OBJ2000
norway22108,Arrays,Coding,arrays_2,0,2023-03-20 01:30:16.125,1218,OBJ2000
norway22108,Arrays,Coding,arrays_2,0,2023-03-20 01:30:16.125,1219,OBJ2000
norway22108,Arrays,Coding,arrays_2,0,2023-03-20 01:30:16.125,1220,OBJ2000
norway22108,Arrays,Coding,arrays_2,0,2023-03-20 01:30:16.125,1221,OBJ2000
norway22108,Arrays,Coding,arrays_2,0,2023-03-20 01:30:16.125,1222,OBJ2000
norway22108,Arrays,Coding,arrays_2,1,2023-03-20 01:30:16.125,1223,OBJ2000
norway22108,Arrays,Coding,arrays_3,0,2023-03-20 01:32:09.163,1224,OBJ2000
norway22108,Arrays,Coding,arrays_3,0,2023-03-20 01:32:09.163,1225,OBJ2000
norway22108,Arrays,Coding,arrays_3,1,2023-03-20 01:32:09.163,1226,OBJ2000
norway22108,Arrays,Coding,array_4,0,2023-03-20 01:35:18.431,1227,OBJ2000
norway22108,Arrays,Coding,array_4,0,2023-03-20 01:35:18.431,1228,OBJ2000
norway22108,Arrays,Coding,array_4,0,2023-03-20 01:35:18.431,1229,OBJ2000
norway22108,Arrays,Coding,array_4,1,2023-03-20 01:35:18.431,1230,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1231,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1232,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1233,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1234,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1235,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1236,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1237,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1238,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1239,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1240,OBJ2000
