user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_id,class
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6735,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6736,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6737,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6738,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6739,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6740,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6741,OBJ2100
norway22155,Boolean Expressions,Challenges,JThreeBoolean2,0,3,0.33,"0,0,1",2023-04-05 21:11:13.987,2023-04-05 21:13:05.291,6742,OBJ2100
norway22155,Boolean Expressions,Challenges,JPhoneAge2,1,1,1,1,2023-04-05 21:11:17.647,2023-04-05 21:12:03.86,6743,OBJ2100
norway22155,Boolean Expressions,Challenges,JThreeBoolean3,1,1,1,1,2023-04-05 21:13:08.829,2023-04-05 21:13:20.359,6744,OBJ2100
norway22155,Boolean Expressions,Challenges,JBooleanDryHot4,0,5,0.2,"0,0,0,0,1",2023-04-05 21:13:21.335,2023-04-05 21:22:37.305,6745,OBJ2100
norway22155,Boolean Expressions,Coding,squirrel_play,1,,,,2023-04-05 21:19:04.829,,6746,OBJ2100
norway22155,Boolean Expressions,Coding,squirrel_play,-1,,,,2023-04-05 21:19:04.830,,6747,OBJ2100
norway22155,Boolean Expressions,Challenges,JFailCourse2,0,2,0.5,"0,1",2023-04-05 21:22:37.11,2023-04-05 21:23:24.597,6748,OBJ2100
norway22155,Boolean Expressions,Challenges,JFailCourse3,1,1,1,1,2023-04-05 21:23:26.575,2023-04-05 21:23:59.899,6749,OBJ2100
norway22155,Boolean Expressions,Challenges,JRentCar2,1,1,1,1,2023-04-05 21:23:59.442,2023-04-05 21:24:45.053,6750,OBJ2100
norway22155,Boolean Expressions,Challenges,JRentCar3,1,1,1,1,2023-04-05 21:24:44.377,2023-04-05 21:25:14.213,6751,OBJ2100
norway22155,Boolean Expressions,Challenges,JBooleanDryHot2,1,1,1,1,2023-04-05 21:25:13.505,2023-04-05 21:25:34.333,6752,OBJ2100
norway22155,Boolean Expressions,Challenges,JBooleanDryHot3,1,1,1,1,2023-04-05 21:25:33.47,2023-04-05 21:25:56.46,6753,OBJ2100
norway22155,Boolean Expressions,Challenges,JBooleanDryHot3,-1,1,1,1,2023-04-05 21:25:33.48,2023-04-05 21:25:56.46,6754,OBJ2100
norway22155,Strings,Challenges,JCharAt2,1,1,1,1,2023-04-05 21:53:45.949,2023-04-05 21:54:18.948,6755,OBJ2100
norway22155,Strings,Challenges,Initials2,0,3,0.33,"0,0,1",2023-04-05 21:54:18.648,2023-04-05 21:55:34.333,6756,OBJ2100
norway22155,Strings,Challenges,Initials3,0,2,0.5,"0,1",2023-04-05 21:55:33.744,2023-04-05 21:56:14.706,6757,OBJ2100
norway22155,Strings,Challenges,StringAddition2,1,1,1,1,2023-04-05 21:56:14.769,2023-04-05 21:56:39.707,6758,OBJ2100
norway22155,Strings,Challenges,JEscapeChar2,0,3,0.33,"0,0,1",2023-04-05 21:56:38.773,2023-04-05 21:58:01.126,6759,OBJ2100
norway22155,Strings,Challenges,JEscapeChar3,0,3,0.33,"0,0,1",2023-04-05 21:58:01.014,2023-04-05 21:58:56.452,6760,OBJ2100
norway22155,Strings,Challenges,JStringEqual2,1,1,1,1,2023-04-05 21:58:55.697,2023-04-05 21:59:42.708,6761,OBJ2100
norway22155,Strings,Challenges,JStringEqual2,-1,1,1,1,2023-04-05 21:58:55.698,2023-04-05 21:59:42.708,6762,OBJ2100
norway22104,Strings,Coding,non_start,1,,,,2023-04-06 10:21:48.941,,6763,OBJ2000
